 NPOZ,NLIM,MEAN1,MEAN2,P,B,M1DM2,NLIM1,B1,N100MB,PN,PP,BPN,BPP,UNK1,UNK2
   36 ,  2  ,     60.0000   ,       3.00,      634510,  35.25,   20.00,   2,  35.25,  64.75,   8090,   1004580,   0.52,  64.23,     10000,      5581
   36 ,  2  ,     70.0000   ,       3.00,      711175,  39.51,   23.33,   2,  39.51,  60.49,   9185,    933120,   0.59,  59.90,     10000,      5184
   36 ,  2  ,     80.0000   ,       3.00,      765385,  42.52,   26.67,   2,  42.52,  57.48,  10055,    885960,   0.65,  56.83,     10000,      4922
   36 ,  2  ,     90.0000   ,       3.00,      812935,  45.16,   30.00,   2,  45.16,  54.84,  10025,    844020,   0.64,  54.19,     10000,      4689
   36 ,  2  ,    100.0000   ,       3.00,      844865,  46.94,   33.33,   2,  46.94,  53.06,  10675,    817380,   0.68,  52.38,     10000,      4541
   36 ,  2  ,     10.0000   ,       5.00,      163270,   9.07,    2.00,   2,   9.07,  90.93,    530,   1493100,   0.03,  90.90,     10000,      8295
   36 ,  2  ,     20.0000   ,       5.00,      232135,  12.90,    4.00,   2,  12.90,  87.10,   1865,   1429560,   0.11,  86.99,     10000,      7942
   36 ,  2  ,     30.0000   ,       5.00,      286955,  15.94,    6.00,   2,  15.94,  84.06,   2845,   1383840,   0.17,  83.89,     10000,      7688
   36 ,  2  ,     40.0000   ,       5.00,      350695,  19.48,    8.00,   2,  19.48,  80.52,   3905,   1324620,   0.24,  80.28,     10000,      7359
   36 ,  2  ,     50.0000   ,       5.00,      422475,  23.47,   10.00,   2,  23.47,  76.53,   5205,   1253880,   0.32,  76.21,     10000,      6966
   36 ,  2  ,     60.0000   ,       5.00,      467435,  25.97,   12.00,   2,  25.97,  74.03,   5965,   1215360,   0.36,  73.67,     10000,      6752
   36 ,  2  ,     70.0000   ,       5.00,      526295,  29.24,   14.00,   2,  29.24,  70.76,   6865,   1159920,   0.42,  70.35,     10000,      6444
   36 ,  2  ,     80.0000   ,       5.00,      583515,  32.42,   16.00,   2,  32.42,  67.58,   7785,   1103580,   0.47,  67.11,     10000,      6131
   36 ,  2  ,     90.0000   ,       5.00,      635800,  35.32,   18.00,   2,  35.32,  64.68,   7700,   1054260,   0.47,  64.21,     10000,      5857
   36 ,  2  ,    100.0000   ,       5.00,      646055,  35.89,   20.00,   2,  35.89,  64.11,   8245,   1048500,   0.50,  63.61,     10000,      5825
   36 ,  2  ,     10.0000   ,       7.00,      122335,   6.80,    1.43,   2,   6.80,  93.20,    425,   1572660,   0.03,  93.18,     10000,      8737
   36 ,  2  ,     20.0000   ,       7.00,      176025,   9.78,    2.86,   2,   9.78,  90.22,   1455,   1521360,   0.09,  90.13,     10000,      8452
   36 ,  2  ,     30.0000   ,       7.00,      223655,  12.43,    4.29,   2,  12.43,  87.57,   2245,   1478520,   0.13,  87.44,     10000,      8214
   36 ,  2  ,     40.0000   ,       7.00,      270405,  15.02,    5.71,   2,  15.02,  84.98,   3015,   1433340,   0.18,  84.80,     10000,      7963
   36 ,  2  ,     50.0000   ,       7.00,      327785,  18.21,    7.14,   2,  18.21,  81.79,   4135,   1375740,   0.25,  81.54,     10000,      7643
   36 ,  2  ,     60.0000   ,       7.00,      369985,  20.55,    8.57,   2,  20.55,  79.45,   4775,   1334160,   0.28,  79.16,     10000,      7412
   36 ,  2  ,     70.0000   ,       7.00,      417590,  23.20,   10.00,   2,  23.20,  76.80,   5590,   1290780,   0.33,  76.47,     10000,      7171
   36 ,  2  ,     80.0000   ,       7.00,      468755,  26.04,   11.43,   2,  26.04,  73.96,   6265,   1240200,   0.37,  73.59,     10000,      6890
   36 ,  2  ,     90.0000   ,       7.00,      506200,  28.12,   12.86,   2,  28.12,  71.88,   6260,   1204740,   0.37,  71.51,     10000,      6693
   36 ,  2  ,    100.0000   ,       7.00,      516290,  28.68,   14.29,   2,  28.68,  71.32,   6610,   1198620,   0.39,  70.93,     10000,      6659
   36 ,  2  ,     10.0000   ,       9.00,       97225,   5.40,    1.11,   2,   5.40,  94.60,    335,   1618200,   0.02,  94.58,     10000,      8990
   36 ,  2  ,     20.0000   ,       9.00,      143355,   7.96,    2.22,   2,   7.96,  92.04,   1185,   1571040,   0.07,  91.97,     10000,      8728
   36 ,  2  ,     30.0000   ,       9.00,      181260,  10.07,    3.33,   2,  10.07,  89.93,   1800,   1535220,   0.11,  89.82,     10000,      8529
   36 ,  2  ,     40.0000   ,       9.00,      218055,  12.11,    4.44,   2,  12.11,  87.89,   2445,   1504080,   0.14,  87.74,     10000,      8356
   36 ,  2  ,     50.0000   ,       9.00,      274450,  15.25,    5.56,   2,  15.25,  84.75,   3470,   1446120,   0.20,  84.55,     10000,      8034
   36 ,  2  ,     60.0000   ,       9.00,      305535,  16.97,    6.67,   2,  16.97,  83.03,   3885,   1417140,   0.23,  82.80,     10000,      7873
   36 ,  2  ,     70.0000   ,       9.00,      352205,  19.57,    7.78,   2,  19.57,  80.43,   4735,   1368360,   0.28,  80.16,     10000,      7602
   36 ,  2  ,     80.0000   ,       9.00,      387155,  21.51,    8.89,   2,  21.51,  78.49,   5245,   1336680,   0.31,  78.18,     10000,      7426
   36 ,  2  ,     90.0000   ,       9.00,      415300,  23.07,   10.00,   2,  23.07,  76.93,   5000,   1311120,   0.29,  76.64,     10000,      7284
   36 ,  2  ,    100.0000   ,       9.00,      434080,  24.12,   11.11,   2,  24.12,  75.88,   5480,   1294200,   0.32,  75.56,     10000,      7190
   36 ,  2  ,     10.0000   ,      11.00,       80885,   4.49,    0.91,   2,   4.49,  95.51,    295,   1650060,   0.02,  95.49,     10000,      9167
   36 ,  2  ,     20.0000   ,      11.00,      118015,   6.56,    1.82,   2,   6.56,  93.44,    965,   1609200,   0.06,  93.39,     10000,      8940
